price,atr,f_rsi,f_macd,f_ema20Dist,f_emaCross,f_momentum,f_volatility,f_ema200Dist,f_mfi,f_obvChange,f_bbSpread,f_adx,f_volChange,label
2135.57,5.794285714285739,0.4512614678899136,-0.00029369535300617026,-0.00014117215877577127,0.002237077573118694,-0.0016595609409475519,0.002713226779869421,0.00528664152466269,0.39654088441592455,-0.05588333486861791,0.007841200242146637,0.15740025162418406,-0.6215525333925646,0
2135.93,5.1535714285714675,0.3379453476305683,-0.00032705612108416916,2.4787295391783582e-05,0.0021506963402267145,-0.0020184557878753246,0.0024127997774138045,0.005400023742378844,0.314159272493699,-0.018743091540273364,0.00785762562152494,0.14776617586928528,-0.5905515954333916,0
2137.78,4.996428571428623,0.38617480890661393,-0.0002865888204714366,0.0008053734120506713,0.0021161228369344434,0.0005663282738220776,0.002337204282680455,0.006198438501250445,0.23990814412169315,4.638861343257852e-05,0.00784994749838302,0.13854085534820212,-0.7643134549851741,0
2133.05,4.901428571428596,0.3786249592701219,-0.0003990594968183576,-0.0012760062489669615,0.001954018258278079,-0.0011800128302982256,0.0022978498260371747,0.003954953144969717,0.25404498110697316,-0.029245745262199706,0.006737088767314917,0.1292433854028299,-0.5709818272866284,0
2132.57,4.79357142857147,0.406578026592026,-0.0004724139058365734,-0.0013583859907422334,0.0017932097054151616,-0.001573085260284594,0.00224779089482243,0.003693640773492256,0.2694903959724233,-0.06570342263271284,0.007001041941806664,0.12344114861177699,-0.4073981355635981,0
2130.62,4.540714285714297,0.4097320169252477,-0.0005610731843751967,-0.002058202844449713,0.0015955361668669667,-0.003349268867704024,0.002131170403785892,0.002754115188204784,0.2848261153279701,-0.09619215625206949,0.0075108202415790975,0.12000182237146963,-0.4324204399902704,0
2122.1,5.079999999999992,0.3236768802228373,-0.0008529318512088702,-0.005502180336737131,0.0011940016595783174,-0.005133494292210812,0.0023938551434899355,-0.001237283242248987,0.2285478533725103,-0.2967968490409337,0.00971809502031234,0.13383490174286972,1.6163642371284859,1
2126.43,5.42928571428573,0.42454085706680705,-0.0008632128773507923,-0.0031256805999056586,0.0009541578005946715,-0.002879155197719337,0.002553239802996445,0.0007935377197453497,0.2074837361525549,-0.13365836776822448,0.009678286202139584,0.14803562623351113,0.6157666642746831,1
2125.84,5.48500000000003,0.4197368421052634,-0.0008469082834055588,-0.003079886829342662,0.0007265699781970871,-0.002243478424120559,0.0025801565498814725,0.0005110840827152844,0.25106023342540823,-0.15775266280656622,0.009525489733767139,0.15737044793582824,-0.5766758582322841,1
2128.32,5.206428571428595,0.36637931034483046,-0.0007183975102863755,-0.0017290540298385566,0.0005911688487559898,0.00293105885679292,0.002446262108812864,0.001659052958906526,0.21829355464530806,-0.11839497127912335,0.009437096899427823,0.16603849665940842,-0.6644721669549788,1
2125.24,5.175000000000052,0.2876984126984137,-0.0006940701795076158,-0.0028778738531926606,0.00039028874463229585,-0.0005596234063665649,0.0024350191037247806,0.00021009771844878182,0.13218984012995422,-0.16211790259933762,0.009884089692567846,0.17639668581927043,-0.30657617662887054,1
2125.51,5.155714285714339,0.3024673439767868,-0.0006319189512029917,-0.0024885294739888045,0.00022127789668396038,-0.00015523275505208633,0.002425636334674661,0.0003337451442583589,0.13407846034762969,-0.10752834627160032,0.010300780025134576,0.18815915813388057,-0.44886863756313805,1
2127.28,5.033571428571447,0.3151895126816818,-0.0005032115868157097,-0.001496847558583579,0.0001200556180413262,-0.0004886483235603497,0.0023662007016337513,0.001153918716543056,0.1751875716658236,-0.06226096861065779,0.010485208799654179,0.19287367031919328,-0.4964900350448602,1
