price,atr,f_rsi,f_macd,f_ema20Dist,f_emaCross,f_momentum,f_volatility,f_ema200Dist,f_mfi,f_obvChange,f_bbSpread,f_adx,f_volChange,label
92.39,0.8928571428571459,0.525830258302583,0.00045536233353300255,0.001924672051852221,-6.84473851219634e-05,-0.0005408913890090562,0.009664001979187637,0.0012073090239781653,0.4642538480214935,-0.1853105164080601,0.034072445317535886,0.1127958903615121,-0.5942893284980049,0
91.83,0.8571428571428602,0.5438931297709916,5.3723433912853037e-05,-0.0037654524320084475,-0.0002979851329666014,-0.006491398896462279,0.009334017827974085,-0.004834960942627588,0.49414131332158073,-0.7647946015917879,0.031517404621648766,0.11393154076141351,-0.5434178929197729,0
91.54,0.8664285714285741,0.5418250950570352,-0.00040512576536635796,-0.006283929190359316,-0.0006727880706887814,-0.004242358316110089,0.009465026998345795,-0.007938508147972007,0.48447857443186537,-1.310761205765885,0.03035300786027202,0.10967731557240044,-0.3571426098108258,0
91.7,0.8671428571428592,0.560521415270019,-0.000557885360793327,-0.004096892913550572,-0.0008989509137071778,-0.007468340729516157,0.009456301604611332,-0.006118345900660766,0.5184770539990666,-0.4790872371063487,0.0285865968610474,0.10600754855990462,-0.3632842994207679,0
91.3,0.8664285714285721,0.5009041591320065,-0.000904695181671866,-0.007686859919302888,-0.0013357184549984682,-0.005771534356963968,0.009489907682678775,-0.010421572940283882,0.5122359171753272,-1.309791059812732,0.025154210474816988,0.09936299204902001,0.06155789375480097,0
91.29,0.8442857142857149,0.47834274952919126,-0.0010756893407161726,-0.007054648400447757,-0.001716809203481512,-0.002731046537032991,0.009248392094267881,-0.010427456990441217,0.4658367923582223,-1.4560236970812932,0.0249626029985754,0.09302659843358,-0.370208987741481,0
90.91,0.8257142857142868,0.42831215970961845,-0.001390866135915611,-0.010191323809031864,-0.002273569304710125,-0.008615049073064408,0.009082766315194004,-0.014505220415512504,0.3973612373510547,-1.7235870821651968,0.026479543867210957,0.09030356834210915,0.08682207364490467,0
91.11,0.7821428571428594,0.3545081967213116,-0.0013591145509643668,-0.007214393748060987,-0.002627627581722389,-0.0020810514786418154,0.00858459946375655,-0.012156059129600398,0.30933904799819273,-0.475763470619154,0.027022889908263802,0.08989572931186852,0.659309227368626,0
90.45,0.7878571428571449,0.32765151515151586,-0.0017314607102191476,-0.013176848494738424,-0.0033288740556468677,-0.00920144594150513,0.008710416173102763,-0.01934716527436242,0.2507352138366022,-1.0396607022238067,0.02933409548088818,0.09439818551419936,0.19155720115510036,0
90.22,0.7914285714285744,0.313974591651543,-0.0020179681370306062,-0.014258834479015766,-0.004067635752316877,-0.007589924100758968,0.0087722076194699,-0.02172744505769502,0.23642086130892254,-1.6143939218071988,0.032314037186615,0.10821018438254779,0.6906951700670708,0
89.62,0.6907142857142888,0.15769230769230674,-0.002508144414195004,-0.019044541974707622,-0.005063225637244031,-0.016353857973877676,0.007707144451174836,-0.028283585893781684,0.07524711321738764,-1.5630281507340231,0.038133901356892354,0.12265489618643297,-0.15451865987229893,1
90.13,0.6750000000000023,0.26760563380281527,-0.002271528590991822,-0.012013686676754086,-0.005599058667784813,-0.0035378662244334703,0.0074891822922445615,-0.022241517288314114,0.07095438231782439,-0.5150160290297905,0.04088896967515037,0.14228489262709298,0.934427650822378,0
90.1,0.6407142857142867,0.26653306613226235,-0.0020021224575889267,-0.011174397771439748,-0.006063348776203114,-0.0013300820217247234,0.007111146345330596,-0.022357190887181983,0.14502799903934985,-0.7886047396953185,0.04330256647119495,0.1559060882748001,-0.06676567441652109,1
90.06,0.6364285714285722,0.2935982339955832,-0.0017195300389445671,-0.010516508330386943,-0.006469798343368378,0.004909618388752485,0.007066717426477595,-0.022584291339664275,0.194445685427346,-0.8446184791277778,0.04407507692144311,0.16613853123103778,-0.4238502000275634,1
90.44,0.634285714285715,0.2808988764044928,-0.0011363049119703576,-0.0056734367770573495,-0.006566189565652062,0.003439476311993812,0.007013331648448862,-0.018105751336857517,0.19317658825981596,-0.5979823599207365,0.04394173809614713,0.174501665257638,-0.6030911004077651,0
90.45,0.6135714285714299,0.32307692307692265,-0.0006648297755312282,-0.005032513001249887,-0.006619675269248062,0.0038845726970034244,0.006783542604438141,-0.017814154546789186,0.23614480174324015,-0.3427765733051835,0.043401194369625896,0.17701619284215195,-0.3536043603536094,0
90.77,0.6278571428571433,0.4020356234096674,-6.328036290178358e-05,-0.0013475320765190526,-0.006444889518485643,0.007883633133466508,0.006917011599175315,-0.014084406954577184,0.2891063335669837,-0.087293001047994,0.038314524984671534,0.17116743469002635,-0.18167155022367373,0
90.31,0.6650000000000001,0.3356973995271858,3.7633514851383596e-05,-0.005833870765314705,-0.006552043191626381,-0.0014374170720919445,0.007363525633927584,-0.019058173986347998,0.2445037481921773,-0.2871870307945106,0.036190947004460405,0.17307825878045738,-0.1771311954070419,0
90.43,0.6621428571428579,0.38987341772151946,0.0002289997624647831,-0.004070646860500191,-0.006547204473925554,-0.00022111663902704278,0.007322159207595465,-0.017529712647021967,0.2552394948535124,-0.15632064644789445,0.0331052691593881,0.1748525954358576,-0.5816116899279261,0
