price,atr,f_rsi,f_macd,f_ema20Dist,f_emaCross,f_momentum,f_volatility,f_ema200Dist,f_mfi,f_obvChange,f_bbSpread,f_adx,f_volChange,label
3.124e-05,3.307142857142853e-07,0.42292490118577014,0.00045290263880312187,0.0017127532523977355,0.003281733748338292,-0.004144086707044962,0.010586244741174306,0.008336728464921554,0.3932260359835222,0.3468694561282759,0.03280362270041069,0.3415242108405202,-0.503615250527924,1
3.132e-05,2.8142857142857093e-07,0.5750000000000006,0.0003857127872666604,0.003856689503881739,0.003392643917119496,-0.005714285714285767,0.008985586571793453,0.010761556211850227,0.5124048882789396,0.4022659243275594,0.032946046792008174,0.3518283438295839,-0.43684728312949345,1
3.135e-05,2.9357142857142806e-07,0.627659574468086,0.00036543938252526164,0.004351847482296675,0.003530143254115219,0.005129849310676667,0.009364319890635664,0.011591696409574992,0.628270247341208,0.6817424841218995,0.033061751897958916,0.3674615092484908,0.8644973255067818,1
3.152e-05,2.9785714285714255e-07,0.6551724137931049,0.0006560521855957926,0.008795893692334392,0.003941563517626847,0.008962868117797826,0.009449782451051476,0.01675419488938475,0.6287543055480763,0.7173617384282212,0.03408376771081988,0.3798042049338881,-0.12578826723604736,0
3.151e-05,3.207142857142857e-07,0.6584158415841582,0.0007633983507718153,0.0076735802911624676,0.0042659937947062245,0.006066411238825137,0.010178174729110938,0.016278548918335516,0.7191876220791508,0.17604731889896813,0.03445761975238872,0.39754583742264243,1.3841644039611016,0
3.155e-05,3.085714285714285e-07,0.6600985221674879,0.0008470784046041304,0.008081044124241266,0.004603333506730846,0.0063795853269536865,0.00978039393253339,0.017351353881453844,0.6721064482814342,0.26641651011866696,0.034818393680077074,0.4140202104479143,-0.3822323170294691,0
3.148e-05,3.1357142857142787e-07,0.6363636363636348,0.0006903766640814674,0.005315819417129963,0.004753468125797093,-0.0012690355329951265,0.009960972953349044,0.01501539440298709,0.6169163450645249,0.08410317581589301,0.033599070999397934,0.42564409111074625,-0.12412915965035347,0
3.166e-05,3.028571428571424e-07,0.6310679611650474,0.0008876946825401813,0.00992614672227803,0.005188216732029012,0.004760393525864705,0.009565923653099887,0.020410304533146035,0.6195983188254349,0.20331425873918202,0.035122513065635436,0.43781206605810746,-0.23650105784205697,0
3.163e-05,3.078571428571422e-07,0.646766169154228,0.0008788652009119831,0.00813118091522399,0.005492356777079885,0.002535657686212337,0.00973307438688404,0.019287353630576546,0.6861107313608221,-0.07297067373142843,0.03455440840754463,0.45249584558913575,0.4475339411984914,0
3.162e-05,3.0357142857142823e-07,0.6065573770491798,0.0007759788272228799,0.007072973396316625,0.0057177923459302915,0.0044472681067345005,0.009600614439324107,0.018788369989346784,0.6596066310944745,-0.13025655043002277,0.033403250248498814,0.4548444400027917,-0.6268414472962209,0
